id,fips,econ_year,unemp_rate,num_unemployed
586,16033,2020,4,15
587,16035,2020,8.2,249
588,16037,2020,5,112
589,16039,2020,4.8,576
590,16041,2020,3.6,253
591,16043,2020,3.6,288
592,16045,2020,5.9,498
593,16047,2020,3.8,312
594,16049,2020,6.7,449
595,16051,2020,3.4,483
596,16053,2020,4,487
597,16055,2020,6.9,5632
598,16057,2020,4.7,938
599,16059,2020,6.7,243
600,16061,2020,7.7,128
601,16063,2020,5.8,156
602,16065,2020,2.7,606
603,16067,2020,3.8,448
604,16069,2020,4.9,1013
605,16071,2020,4.2,98
606,16073,2020,6,327
607,16075,2020,5.3,632
608,16077,2020,4.1,168
609,16079,2020,9.1,498
610,16081,2020,5.7,376
611,16083,2020,5.3,2167
612,16085,2020,7.9,448
613,16087,2020,5.4,256
614,17000,2020,9.5,591615
615,17001,2020,6.3,1972
616,17003,2020,9.8,188
617,17005,2020,6.8,512
618,17007,2020,11.2,2860
619,17009,2020,3.8,115
620,17011,2020,7.6,1239
621,17013,2020,7.6,169
622,17015,2020,7.2,532
623,17017,2020,6.7,387
624,17019,2020,6.4,6993
625,17021,2020,8.1,1101
626,17023,2020,7.9,579
627,17025,2020,9.4,585
628,17027,2020,5.8,1154
629,17029,2020,7.4,1716
630,17031,2020,11.1,281454
631,17033,2020,7,590
632,17035,2020,5.7,338
633,17037,2020,8.2,4353
634,17039,2020,6.5,464
635,17041,2020,5.6,562
636,17043,2020,7.9,38391
637,17045,2020,6.6,588
638,17047,2020,8.2,219
639,17049,2020,6.6,1277
640,17051,2020,7.5,723
641,17053,2020,6.4,402
642,17055,2020,10.5,1686
643,17057,2020,8.6,1251
644,17059,2020,9.2,186
645,17061,2020,6.5,382
646,17063,2020,8.8,2131
647,17065,2020,6.7,281
648,17067,2020,6.9,560
649,17069,2020,9.2,118
650,17071,2020,6.9,246
651,17073,2020,7.8,1864
652,17075,2020,6.2,844
653,17077,2020,7.7,2105
654,17079,2020,6,276
655,17081,2020,10.1,1714
656,17083,2020,7.4,795
657,17085,2020,8.3,866
658,17087,2020,8.9,366
659,17089,2020,9.1,23911
660,17091,2020,8.8,4770
661,17093,2020,8.4,5547
662,17095,2020,8.6,1825
663,17097,2020,8.1,29411
664,17099,2020,9.4,4964
665,17101,2020,8.7,505
666,17103,2020,6.8,1172
667,17105,2020,6.7,1069
668,17107,2020,6.7,817
669,17109,2020,7.1,911
670,17111,2020,8.3,13157
671,17113,2020,6.8,5762
672,17115,2020,9.9,4665
673,17117,2020,6.9,1523
674,17119,2020,7.7,10182
675,17121,2020,9.3,1591
676,17123,2020,7.4,375
677,17125,2020,8,476
678,17127,2020,10,541
679,17129,2020,6.4,391
680,17131,2020,8,617
681,17133,2020,5.6,1023
682,17135,2020,8.7,998
683,17137,2020,6.9,1089
684,17139,2020,5,367
685,17141,2020,8.1,1962
686,17143,2020,10.4,8668
687,17145,2020,9.4,763
688,17147,2020,5.4,453
689,17149,2020,6,405
690,17151,2020,7.9,130
691,17153,2020,11.7,206
692,17155,2020,8.3,244
693,17157,2020,7.1,978
694,17159,2020,6.8,498
695,17161,2020,9.4,6472
696,17163,2020,9,11319
697,17165,2020,9.7,929
698,17167,2020,8.2,7953
699,17169,2020,6.2,193
700,17171,2020,6.6,155
701,17173,2020,6.4,660
702,17175,2020,7.3,173
703,17177,2020,7.3,1546
704,17179,2020,8.1,5029
705,17181,2020,8.1,582
706,17183,2020,8.8,2871
707,17185,2020,8.3,476
708,17187,2020,6.2,498
709,17189,2020,5.3,504
710,17191,2020,8.3,565
711,17193,2020,7.6,466
712,17195,2020,8,2212
713,17197,2020,9.5,32572
714,17199,2020,8.7,2739
715,17201,2020,11.4,15506
716,17203,2020,6.1,1095
717,18000,2020,7.1,236028
718,18001,2020,5.6,935
719,18003,2020,7.7,14203
720,18005,2020,6.5,2827
721,18007,2020,5.2,221
722,18009,2020,8,384
723,18011,2020,4.3,1522
724,18013,2020,6.7,506
725,18015,2020,6,583
726,18017,2020,6.8,1191
727,18019,2020,7.2,4412
728,18021,2020,6.6,761
729,18023,2020,5.6,939
730,18025,2020,7.1,343
731,18027,2020,3.8,632
732,18029,2020,6.9,1742
733,18031,2020,7.5,1115
734,18033,2020,6.9,1525
735,18035,2020,7.3,3833
736,18037,2020,4.5,1026
737,18039,2020,7.5,8339
738,18041,2020,9.9,843
739,18043,2020,6.5,2671
740,18045,2020,6.5,505
741,18047,2020,5.9,662
742,18049,2020,6.6,640
743,18051,2020,6.2,1205
744,18053,2020,6.3,1996
745,18055,2020,6.2,822
746,18057,2020,4.7,8524
747,18059,2020,5.6,2279
748,18061,2020,6.3,1248
749,18063,2020,5,4501
750,18065,2020,6.6,1442
751,18067,2020,10.9,4010
752,18069,2020,6.6,1186
753,18071,2020,7.2,1650
